|sentence|appeal-code
2197|In Atacama, 24 people were reported dead, and of 14,525 dwellings registered, 998 were destroyed, 2,736 suffered major damage, and 3,347 suffered minor damage.|MDRCL011
2349|In November 2015, eight hundred and fifty eight (858) cases of measles were reported among the communities in the Far North and North regions of Cameroon, which are under the “control” of the Boko Haram group.|MDRCM022
2350|Of all the recorded cases, the Mokolo district (Mayo-Tsanaga Division) in the Far North region accounted for 587 cases, which for a population of 211,906 people presented an extremely concerning “attack rate”.|MDRCM022
2351|Given the Mokolo health district is located close to the Chad and Nigerian borders, it raised the risk of the epidemic spreading to these countries.|MDRCM022
2352|Cameroon has reported unsatisfactory vaccination coverage against the disease (72 per cent) in accordance with the World Health Organizations (WHO) AFRO “Eliminating Measles in Africa Region by 2020” resolution, and it was therefore proposed that an immediate National measles and rubella (MR) campaign should be initiated to address the epidemic (from 24 – 28 November 2016).|MDRCM022
2353|On 16 November 2015, the International Federation of Red Cross and Red Crescent Societies (IFRC) released 61,205 Swiss franc from the Disaster Relief Emergency Fund (DREF) to support the Cameroon Red Cross Society (CRCS) support the Public Ministry of Health (MoH) led vaccination campaign through social mobilization activities targeting 1,609,629 people (95 per cent of children aged 9 months to 14 years) in 30 health districts (Bogo, Bourha, Gazawa, Goulfrey, Guere, Guidiguis, Hina, Kaele, Kar Hay, Kolofata, Kousseri, Koza, Mada, Maga, Makary, Maroua 1, Maroua 2, Maroua 3, Meria, Mindif, Mogode, Mokolo, Mora, Moulvoudaye, Moutourwa, Pette, Roua, Tokombere, Vele and Yagoua) of the Far North region of Cameroon.|MDRCM022
2354|Activities planned included: refresher training/deployment of volunteers to the affected health districts and dissemination of information, education and communication (IEC) materials.|MDRCM022
2355|The major donors and partners of the DREF include the Red Cross Societies and governments of Australia, Austria, Belgium, Canada, Denmark, Ireland, Italy, Japan, Luxembourg, Monaco, the Netherlands, Norway, Spain, Sweden and the USA, as well as DG ECHO, the UK Department for International Development (DFID) the Medtronic and Zurich Foundations and other corporate and private donors.|MDRCM022
2356|The IFRC, on behalf of the Cameroon Red Cross Society would like to extend many thanks to all partners for their generous contributions.|MDRCM022
2378|The Global Polio Eradication Initiative (GPEI) prescribes three strategies to eradicate polio; namely 1) strengthening anti-polio routine immunization; 2) epidemiological surveillance; and 3) supplementary preventive or response immunization activities.|MDRCM023
2379|As part of this initiative, Cameroon has been implementing these 3 strategies, which have enabled the country to remain polio-free from July 2014 to date.|MDRCM023
2380|Two cases of type 1 wild poliovirus (WPV) were confirmed in Borno State in neighbouring Nigeria on 11 August 2016.|MDRCM023
2381|Nigeria registered a third case of wild poliovirus on 5 September 2016 also in Borno State, leading to fears that the disease will reappear in this region affected by insecurity.|MDRCM023
2382|This virus had been circulating in northern Nigeria for more than 5 years without being detected.|MDRCM023
2383|Polio resurgence in this area, a part of the greater Lake Chad Basin, poses a big threat to the polio end game eradication strategy.|MDRCM023
2384|Cameroon shares a long border with Nigeria, and there is intensive population movement of between the two countries along the borders.|MDRCM023
2385|Nigerian nomadic populations and about 72,000 Nigerian refugees fleeing conflict are present in the Far North Region of Cameroon.|MDRCM023
2386|Most of them come from Borno State where the polio outbreak was registered.|MDRCM023
2387|Those 3 cases of WPV were confirmed at a time when the risk of a polio outbreak was increasing progressively in Cameroon due to insufficient collective immunization of children against poliomyelitis, particularly in remote places such as islands, or places affected by the current insecurity caused by conflict.|MDRCM023
2388|The WHO and other observers thus declared that there was a very high risk for the poliovirus to be brought from Nigeria into Cameroon.|MDRCM023
2389|There was also a high possibility to detect an indigenous case that might have been circulating unnoticed since 2014.|MDRCM023
2390|Indeed, since then, epidemiological surveillance, particularly in the Far North Region of Cameroon, had never been completed.|MDRCM023
2391|As such, the Cameroon Government decided to launch a series of 5 preventive immunization campaigns scheduled as follows:|MDRCM023
2392|1. From 26 to 28 August 2016 (already done)|MDRCM023
2393|2. From 17 to 19 September 2016 (already done)|MDRCM023
2394|3. From 8 to 10 October 2016|MDRCM023
2395|4. From 12 to 15 November 2016|MDRCM023
2396|5. From 03 to 05 December 2016|MDRCM023
2397|The first 2 campaigns had been conducted before the start of this operation, but the government requested the Cameroon Red Cross to provide additional support to assist in the remaining three campaigns with support from this DREF allocation.|MDRCM023
2409|On 21 October 2016, a bridge collapsed in Manyaï, a village located some 68 km from Yaoundé, the capital city of Cameroon, disrupting traffic between Yaoundé and Douala.|MDRCM024
2410|The highway Yaoundé-Douala is a very busy road connecting the Douala seaport in Cameroon to other countries of the Central Africa sub-region.|MDRCM024
2411|After the highway became inaccessible in the early hours of Friday 21 October 2016, travellers in Yaoundé and Douala chose to use the only train operator in Cameroon, CAMRAIL, as their only affordable means of transport.|MDRCM024
2412|In response to an unprecedented number of travellers, CAMRAIL authorities decided to add additional wagons to the trains in Douala and Yaoundé, thereby doubling the usual capacity; as reported by the Cameroon Minister of Transports on CRTV, the national television channel.|MDRCM024
2413|The overloaded train (approximately 1,300 passengers on board a train that usually carries 600) left Yaoundé at 11 am bound for Douala, and derailed at Eseka train station, some 119 km from Yaoundé.|MDRCM024
2414|Government sources declared that some 75 people were killed, and approximately 600 wounded, some seriously.|MDRCM024
2415|The accident occurred around midday, a business peak time in such places, as local vendors usually sell goods along the platform.|MDRCM024
2416|To cope with the emergency, at least 20,000 sachets of blood were needed and the National Order of Physicians appealed for contributions from the public, as they could not afford to pay for blood.|MDRCM024
2417|Dead bodies were transported to the hospitals in Yaoundé, and many of them were yet to be identified even 10 days after the accident.|MDRCM024
2418|Indeed, some bodies were very difficult to identify due to the nature of the accident and recovery of bodies was hampered by ongoing rains.|MDRCM024
2436|On 4 August 2017, torrential rains caused floods and mudslides in Santchou, a district located in the Menoua Division of the West region of Cameroon.|MDRCM025
2437|The disaster affected 12,890 people in different ways across the villages in Santchou, with some vulnerable people left homeless, others with houses partially destroyed, and farms and schools destroyed, as well as many houses and public buildings, including schools, flooded.|MDRCM025
2438|The rains continued until October, thereby delaying implementation of the response operation.|MDRCM025
2439|Nevertheless, devoted Cameroon Red Cross volunteers managed to complete all the activities planned despite the adverse weather conditions, preventing a revision of the operation, or an extension of the operation timeframe.|MDRCM025
2440|The National Society (NS) conducted a detailed assessment of the situation as part of this operation, but the findings did not show considerable gaps between the rapid assessment and the detailed assessment.|MDRCM025
2441|Thus, the operational team decided to keep with the response initially planned.|MDRCM025
2442|A Regional Disaster Response Team (RDRT) member with relief, assessment and sanitation background was deployed at the beginning of the operation to support the host NS with this detailed assessment.|MDRCM025
2443|The major donors and partners of the DREF include the Red Cross Societies and governments of Australia, Austria, Belgium, Canada, Denmark, Ireland, Italy, Japan, Luxembourg, Monaco, the Netherlands, Norway, Spain, Sweden and the USA, as well as DG ECHO, the UK Department for International Development (DFID), AECID, the Medtronic and Zurich Foundations and other corporate and private donors.|MDRCM025
2444|The IFRC, on behalf of the Cameroon Red Cross, would like to extend many thanks to all partners for their generous contributions.|MDRCM025
2473|Heavy and continuous rainfall on 7 July 2018 caused flooding in most parts of Sichuan and the southeast region of Gansu Province.|MDRCN006
2474|In some areas of North Central Sichuan, there were heavy rainstorms and torrential rains for four consecutive days.|MDRCN006
2475|These were also compounded by the effects of two weather systems in the area; Typhoon Prapiroon, and Typhoon Maria.|MDRCN006
2476|According to reports from National Disaster Reduction Commission, as of 13 July 2018, the floods affected 1,381,000 people, where 3 persons died; 222,000 had taken emergency resettlement; 22,000 needed emergency relief in Sichuan prefectures of Deyang, Mianyang, Guangyuan (that includes 15 cities and 70 counties); more than 900 houses collapsed, and 29,000 houses damaged.|MDRCN006
2477|A total of 36,900 hectares of crops were also affected by the flood.|MDRCN006
2478|The direct economic loss was estimated to be over 5.3 billion Yuan (approximately CHF 792 million).|MDRCN006
2479|Gansu province was hit even harder, according to the Ministry of Emergency Management.|MDRCN006
2480|A heavy rainstorm occurred in Southeast Gansu from 10 to 11 July 2018.|MDRCN006
2481|The area of Tianshui, Zhangye, Pingliang (including 10 cities and 46 counties) were flooded, and affected 1,519,000 people where 12 died; 4 missing; and 30,000 were evacuated.|MDRCN006
2482|More than 2,300 houses collapsed, and 19,000 were damaged to varying degrees.|MDRCN006
2483|The direct economic loss was estimated 3.6 billion Yuan (approximately CHF 538 million).|MDRCN006
2484|On 12 July 2018, the Provincial Disaster Reduction Commission selected four technical persons and two satellite commanding vehicles carrying unmanned aerial vehicles and 4G communications equipment to collect unmanned aerial vehicle remote sensing data with the working group.|MDRCN006
2485|According to this rapid assessment, heavy rainfall had resulted in a large number of seriously damaged houses that have continued to collapse in these two provinces.|MDRCN006
2486|More rain came over the following week, worsening the flood situation.|MDRCN006
2487|The RCSC had two pre-trained Emergency Response Teams in the affected provinces.|MDRCN006
2488|Those teams were deployed to conduct needs assessment in coordination, provide support to the local authorities and supported gathering of rapid assessment data for development of the Emergency Plan of Action.|MDRCN006
2489|The flooding season was rightly anticipated to continue until the end of August 2018 and more rain fall events were registered.|MDRCN006
2490|The government reinforced its coordination capacities by combining efforts with the National Disaster Reduction Commission and the Ministry of Emergency Management.|MDRCN006
2554|On 19 August 2015, the Venezuelan government declared a state of constitutional emergency initially in five municipalities in Tachira state and later extended this to an additional 23 municipalities in the states of Zulia and Apure.|MDRCO011
2555|These Venezuelan states border the Colombian departments of La Guajira, Norte de Santander, Arauca, and Vichada.|MDRCO011
2556|As of the writing of this report, border crossings between Colombia and Venezuela remained partially closed, limiting access to Venezuelans and Colombians with documentation supporting their residency.|MDRCO011
2557|Furthermore, the Colombian government, via Decree 1770 of 7 September 2015, declared a state of economic, social, and ecological emergency in parts of Colombia, which continue in effect.|MDRCO011
2558|According UNOCHA Situation Report No. 13 (15 October 2015), a total of 1,950 Colombian citizens were deported and 22,342 additional Colombian citizens voluntarily left Venezuela beginning on 23 August 2015.|MDRCO011
2559|Until 15 October, at least 24,292 people left Venezuela.|MDRCO011
2560|The following table details the number of people who returned or were deported to Colombia based on the receiving Colombian departments: The affected population was assisted by the Colombian government and humanitarian organizations.|MDRCO011
2561|There are no longer any collective centres in the area.|MDRCO011
2562|Moreover, the families that received rent subsidies for three months returned to their cities of origin or were staying with relatives or friends in Cucuta or Villa del Rosario.|MDRCO011
2563|Furthermore, some Colombian families were living legally near the Venezuelan border; many of these families had elderly members with conditions such as chronic kidney failure, diabetes, and hypertension, among others, who received medical attention from Colombian health care providers and required medications or support to relocate.|MDRCO011
2564|Commercial and transit activities had been fully restored, but the political situation between the two countries over this issue remains sensitive.|MDRCO011
2565|The possibility of border tensions escalating again in the future cannot be ruled out.|MDRCO011
2566|The Colombian Red Cross Society (CRCS) conducted actions at the border area to restore decent living conditions to the affected families.|MDRCO011
2567|These actions were developed jointly with all humanitarian and human rights agencies present in the country and led by UNGRD.|MDRCO011
2582|Extremely heavy rainfall on 31 March 2017 in the Municipality of Mocoa, capital of the Department of Putumayo, produced a landslide and caused the Mocoa, Sangoyaco and Mulato Rivers to overflow; this emergency claimed the lives of 336 people and injured 389 people in the impacted communities, particularly affecting the neighborhoods of San Fernando, San Miguel, Independencia, Chaparros, San Agustín, Naranjito, Pablo VI, Avenida 17 de Julio, Miraflores and Progreso in the urban zone of Mocoa.|MDRCO012
2583|People with the most serious injuries were transported by air to medical centres in Neiva, Cali, Popayán and Bogotá.|MDRCO012
2584|On 6 April, the President of the Republic declared an economic, social and ecological emergency for 30 days in the urban and rural areas of the Municipality of Mocoa.|MDRCO012
2585|According to official figures from the Colombian Ministry of Foreign Affairs, 796,000 migrants entered Colombia through official migration points in 2017, 53 per cent of whom entered via the Simón Bolívar International Bridge in Cúcuta (Norte de Santander department), 19 per cent via Paraguachón (La Guajira department) and 17 per cent via El Dorado International Airport in Bogota.|MDRCO013
2586|The remaining 11 per cent entered via other immigration control posts in Guajira, Norte de Santander, Arauca and Vichada.|MDRCO013
2587|According to the United Nations Office for Humanitarian Affairs (UNOCHA) 2017 figures, the immigration posts that received the highest volume of migrants (49 per cent female and 51 per cent male) were Cúcuta (48 per cent), Villa del Rosario (24.6 per cent), Paraguachón (24 per cent), Puerto Santander (1.6 per cent) and Arauca (1.2 per cent).|MDRCO013
2588|According to National Disaster Risk Management Unit data, the Colombian state granted 1,000,000 Border Mobilization Cards (TMF) to Venezuelan nationals.|MDRCO013
2589|These permits greatly facilitated migrants’ access to basic supply markets in Colombian border areas, as well as their temporary housing under minimum conditions of access to certain services.|MDRCO013
2590|A total of 1,244,434 individuals entered Colombia through international bridges in Cúcuta, Villa del Rosario and Puerto Santander in December 2017, but fewer than 1,136,639 returned to Venezuela in that same period of time.|MDRCO013
2591|In January 2018, numbers increased once again, with mostly Venezuelan nationals- seconded by Colombian nationals- entering the country.|MDRCO013
2592|This was consistent with the trend of people crossing the border intending to migrate to Colombia or on their way to countries to the south such as Ecuador, Peru and Chile.|MDRCO013
2607|The Ituango Hydroelectric Project (under construction) is located on the Cauca River in north-western Antioquia department, 170 km from the city of Medellín.|MDRCO015
2608|The dam's main construction work covers parts of the municipalities of Ituango and Briceño; however, its area of influence extends even further towards the municipalities of Santa Fe de Antioquia, Buriticá, Peque, Liborina, Sabanalarga, Toledo, Olaya, San Andrés de Cuerquia, Valdivia and Yarumal.|MDRCO015
2609|A landslide on the left bank caused a temporary blockage in the river's flow, and the sustained accumulation caused the dammed water to overflow and flow through ducts along the upper construction areas.|MDRCO015
2610|The water accumulated at a rate of between 10 and 20 cm3/h within 367 meters of the dam’s capacity.|MDRCO015
2611|Additionally, there was only one outlet for water and that was through the turbine chamber, which flowed at a rate of between 800 and 1,000 m3/second.|MDRCO015
2612|When the disaster hit, there was no control over the water flowing through the tunnels.|MDRCO015
2613|These circumstances created a scenario of imminent risk to the communities downstream of the dam.|MDRCO015
2614|As a precautionary and maximum alert measure, evacuation plans were activated in downstream communities such as Corregimiento Puerto Valdivia, Cáceres, Tarazá and Caucasia.|MDRCO015
2615|The workers at the hydroelectric project were also quickly evacuated and taken to safe locations.|MDRCO015
2616|On 14 May 2018, the departmental government of Antioquia declared a state of public disaster.|MDRCO015
2617|At the time, the governor of Antioquia estimated that 113,000 people could be affected if the dam burst.|MDRCO015
2618|At the beginning of this Disaster Relief Emergency Fund (DREF) operation, locations downstream from the project and along the banks of the Cauca River such as Ituango, Briceño, Valdivia (Corregimiento Puerto Valdivia), Cáceres, Tarazá, Caucasia and Nechí, were put under a state of maximum alert.|MDRCO015
2619|A preventive evacuation order was issued for the departments of Sucre (Majagual, Guaranda, San Marcos, Sucre, Caimito and San Benito de Abad), Cordoba (Ayapel) and Bolívar (Achí, Magangué and San Jacinto del Cauca).|MDRCO015
2620|Approximately 26,000 were evacuated during the emergency.|MDRCO015
2634|On 12 March 2015, the Turrialba Volcano in the Canton of Turrialba in the province of Cartago, which has an approximate elevation of 3,340 meters above sea level with a volcanic edifice 1,900 of meters high, began expelling ash into the air.|MDRCR012
2635|Three similar events were registered that same day at 10:52, 13:38 and 14:50 local time, with the last one being the most intense.|MDRCR012
2636|As a result of these eruptions and due to wind conditions prevailing in the Central Valley area, a dispersion cloud formed covering most of the northern Central Valley sector, even causing the Juan Santamaría International Airport to suspend operations for over 24 hours.|MDRCR012
2637|This situation caused alarm among the population in the affected sectors; although the Turrialba Volcano has been active since 2001 with increased activity since 2010, this is the first time that ash has fallen with this intensity.|MDRCR012
2638|The volcano continues to be active, periodically spewing ash toward the western side of the crater.|MDRCR012
2639|This activity continues to place 18,450 people (3,690 families) at risk.|MDRCR012
2644|On 20 June 2015, a tropical wave entered Costa Rica, which brought heavy rains in mainly the Atlantic watersheds and the area of Sarapiqui in the province of Heredia; the heavy rains were followed by three more consecutive storm fronts, which brought uninterrupted rains for three more weeks.|MDRCR013
2645|This ended up affecting even northern areas of the country and the area of Turrialba in Cartago.|MDRCR013
2646|In its latest status report, the Costa Rican government's National Emergency Commission (CNE) reported the following damages and impact: 322 affected communities 3,308 flooded dwellings 45 stretches of road affected 59 damaged bridges 33 flooded education centres 8,809 people cut off 46 damaged aqueducts 9,666 people affected (preliminarily).|MDRCR013
2647|The government of Costa Rica declared a Red Alert for the Costa Rican Caribbean area and activated its emergency operations centre (EOC), deploying personnel to affected areas to coordinate relief actions in support of affected families.|MDRCR013
2661|According to the National Hurricane Centre in Miami, Hurricane Otto entered Costa Rica territory close to the town of Los Chiles as a Category 2 hurricane on the Saffir-Simpson scale (wind gusts up to 175 km/h) on 24 November 2016, which qualified Otto as the southernmost hurricane on record to hit Central America.|MDRCR015
2662|Hurricane Otto moved on a west south-west trajectory at an average speed of 15 km/h across Costa Rica before exiting the country on 25 November.|MDRCR015
2663|The rains that fell along its path across Costa Rica triggered multiple Red and Yellow Alerts from the National Emergency Operation Committee (NEOC).|MDRCR015
2664|According to the Ministry of Public Works and Transport's National Highway Administration Council (CONAVI for its acronym in Spanish), damage to transport infrastructure (roads and bridges) was estimated at around 4,734 million Costa Rica colones (approx. 8.8 million US dollars).|MDRCR015
2665|CONAVI reported that the greatest impact occurred in the central region, with 63 damaged roads, followed by the Brunca Region with 41, Huetar Altántica with 35, Chorotega with 7 and Huetar Norte with 4, and it reported that only the roads in the Central Pacific area remained unscathed.|MDRCR015
2666|An airlift operation, which arrived on 25 and 26 November 2016, was conducted with Costa Rica, Panamanian and American aircraft to distribute food, medicine and hygiene items to hard-to-reach areas, especially in Alta Talamanca and in Pacífico Sur, where some communities were cut off.|MDRCR015
2705|A long continuous drought combined with heavy rainfall attributed to the El Niño phenomenon and climate change over the past two years brought difficult times for Cuba.|MDRCU003
2706|In recent years, rainfall patterns during both the dry and rainy seasons have not reached normal historical values, which has caused a decrease in groundwater resources and the drying up of the rivers and dams on which the population depends on for its water supply.|MDRCU003
2707|Cuba is now suffering from the effects of climate change, especially temperature rise and a severe drought, which is considered the worst in the last 115 years.|MDRCU003
2708|Decreased accumulated rainfall for more than 12 months caused the country’s dams to drop 38 per cent below their capacity; in addition, 98 water reservoirs were below 25 per cent and 26 were completely dry at the time of the writing of this report.|MDRCU003
2709|The National Institute of Water Resources (INRH for its acronym in Spanish) reported that the situation was getting more complex and critical due to the long drought and the continuous drop in the levels of the dams.|MDRCU003
2710|The driest groundwater basins were in the Eastern region of the country, especially in the Santiago de Cuba province, which has a population of 1,057,404 inhabitants: 71 per cent in urban areas and 29 per cent in rural areas.|MDRCU003
2711|With less than 30 per cent of water capacity in reservoirs and rainfall dropping below historical averages, this region was facing one of the most severe droughts in the country’s history.|MDRCU003
2712|The province of Santiago de Cuba has nine municipalities, four of which were the most affected by the drought: Santiago de Cuba, Palma Soriano, III Frente and Guamá; the drought affected approximately 520,560 people (94,000 families), and urban areas were the most seriously affected.|MDRCU003
2713|May is considered the rainiest month in Cuba (onset of the rainy season); however, rainfall has decreased significantly due to climate variability, particularly in Santiago de Cuba.|MDRCU003
2714|The beginning of the rainy season (from May to October) was affected by the El Niño–Southern Oscillation (ENSO) event, which has persisted in the equatorial Pacific Ocean since early 2015, reaching its peak in November of the same year.|MDRCU003
2715|Currently, most models forecast a transition to a neutral condition during spring in the Northern Hemisphere and show the likelihood of La Niña re-emerging during the summer.|MDRCU003
2716|Usually when a strong El Niño event decreases in the tropical eastern Pacific Ocean, rainfall during the onset of the rainy season tends to drop below average, particularly between May and June; nonetheless, it is important to note that not all El Niño events behave similarly due to the changing patterns of ocean-atmospheric circulation.|MDRCU003
2717|The Cuban government has been supplying drinking water through water trucks; however, the long drought has exceeded their capacity and therefore a relief intervention is needed.|MDRCU003
2718|In this regard, the government set up a water distribution system based on water cycles, which consisted of supplying water during a 24-hour period to specific areas and then suspending the service for several days, which affected water storage at the household level.|MDRCU003
2719|For this reason, government authorities and the Cuban Red Cross identified a great need in the communities for water containers to increase water storage capacity in households and meet the affected families’ needs.|MDRCU003
2720|The provision of 1,500-litre water tanks to health centres with the aim of increasing their water storage capacity was also been identified as a priority; other actions included the provision of 200-litre tanks and 10-litre buckets for the storage of drinking water in households.|MDRCU003
2807|On 23 January 2016, the Pan American Health Organization/World Health Organization (PAHO/WHO) reported the presence of the Zika virus in the Dominican Republic after ten cases were confirmed, eight were contracted locally and two were imported from El Salvador.|MDRDO008
2808|The affected people were from different locations across the country: the National District and the municipalities of Santo Domingo Norte, Jimaní Oeste near the Haitian border and the provinces of Independencia and the locality of Santa Cruz in Barahona province (southwest Dominican Republic).|MDRDO008
2809|Eight of the ten cases were identified in people aged 15 to 57, and the remaining two cases were identified in children under 5 years of age.|MDRDO008
2810|The onset of symptoms was detected between 3 and 18 January 2016.|MDRDO008
2811|Fevers and rash were reported in all ten of the cases, conjunctivitis was reported in eight of the ten cases, discomfort, headaches and arthralgia’s (joint pain) were reported in six of the ten cases and myalgia was reported in five of the ten cases.|MDRDO008
2812|Testing samples confirmed cases through reverse transcription-polymerase chain reaction (RT-PCR) by the United States’ Centres for Disease Control (CDC).|MDRDO008
2813|Dominican health authorities intensified surveillance activities and the implementation of vector control measures, as well as educational activities for the Dominican population on the risks associated with the Zika virus, encouraging them to take precautions to avoid mosquito bites.|MDRDO008
2814|After confirming the circulation of the virus, the Dominican government issued Decree 7-16 on 23 January 2016, which instructed the Ministry of Health to coordinate actions to detect and confirm cases of dengue, chikungunya and Zika, address and implement a guidance strategy and to reduce the number of mosquito-breeding sites.|MDRDO008
2815|The Ministry of Defence and specialized security forces were ordered to conduct any measures required by public health authorities; government agencies were ordered to get actively involved and institutions were ordered to disseminate prevention information through virtual platforms, social networks and other mechanisms.|MDRDO008
2816|During Epidemiological Week number 4, 32 new suspected cases of Zika were reported with proven autochthonous transmission; the cases were reported in: National District (8) and municipalities of Jimaní (14), Santo Domingo Norte (3) and Santa Cruz de Barahona (7).|MDRDO008
2817|Health authorities are conducting intensified surveillance of febrile rash exanthematous illnesses).|MDRDO008
2818|Through this surveillance, 45 cases have been identified and investigated in other localities of the country, of which 38 met the criteria for laboratory diagnosis.|MDRDO008
2819|Samples were sent to the CDC’s laboratory in the United States.|MDRDO008
2820|In line with the plan of action, the Ministry of Health continues to advance in strengthening the Dr. Defilló National Laboratory with assistance from PAHO and the CDC, with the goal of enabling the samples to be processed eventually in the Dominican Republic.|MDRDO008
2821|In addition to the monitoring of virus circulation, the Ministry of Health is encouraging all of the health sector’s components in the Dominican Republic to implement systematic monitoring and weekly notifications of febrile exanthematous illnesses episodes, with the aim of monitoring the course of the epidemic.|MDRDO008
2822|In epidemiological week (EW) 20, 231 suspected cases of Zika were reported, as well as 63 pregnant women who showed symptoms in the first 24 weeks of pregnancy and 8 cases of Guillain Barré Syndrome (GBS) associated with the virus.|MDRDO008
2823|Two deaths have been reported: an 88-year-old woman from Villa Lora in the Province of La Vega (treated at Veganas Hospital) and a 52-year-old woman from La Punta Pescadora in San Pedro de Macoris (treated at the Antonio Musa Regional Hospital).|MDRDO008
2824|The number of new symptomatic cases in the last two weeks has decreased across the population, including cases in pregnant women and of GBS associated with the Zika virus.|MDRDO008
2825|During the entire epidemic, 3,313 suspected cases have been reported, including 419 pregnant women who contracted the virus in the first 24 weeks of pregnancy, 139 cases of GBS associated with the Zika virus and 15 deaths.|MDRDO008
2826|As of EW-20, the provinces of Independencia, Distrito Nacional, Santo Domingo, Azua, Valverde and Hato Mayor have been the hardest hit.|MDRDO008
2832|Hurricane Irma impacted the Dominican Republic from Wednesday, 6 September to Thursday, 7 September 2017.|MDRDO010
2833|The eye of the storm passed north-east of the country’s coastline, creating storm surge along the northern coast and wind and flood damage to vulnerable communities.|MDRDO010
2834|The country experienced higher than usual rainfall, and tropical storm-strength winds were felt 270 km away from the eye of the hurricane in Santo Domingo, the hurricane’s impact was felt across the island, particularly with the increased rainfall and tropical storm-strength winds, which impacted coastal towns, and ruralcommunities in mountaneous areas.|MDRDO010
2835|In addition to the effects of Hurricane Irma, Hurricane Maria struck the northern area of the country on 14 September 2017, worsening the conditions of the population already affected by Irma.|MDRDO010
2857|Heavy rains and flooding affected south-west Algeria's normally arid Tindouf region on 23 October 2015.|MDRDZ002
2858|The heavy rains caused widespread damage to five camps sheltering 90,000 of the most vulnerable Sahrawi refugees.|MDRDZ002
2859|Approximately 35,000 people were affected.|MDRDZ002
2867|A cold wave affected Algeria on 16th January 2017.|MDRDZ003
2868|The wilayat (provinces) of Eastern, Central and the High Plateau regions witnessed significant snow.|MDRDZ003
2869|The precipitation was accompanied by moderate winds, and temperatures that dropped significantly, reaching exceptionally low records, particularly in the central regions of the country.|MDRDZ003
2870|This wave of cold and snow caused economic and livelihood losses in several isolated areas.|MDRDZ003
2871|Electricity was interrupted and houses suffered from structural damages, especially tents used by nomadic population.|MDRDZ003
2872|Water supply was interrupted due to the freezing temperatures.|MDRDZ003
2873|In addition, traffic was paralyzed because of inaccessible roads which reduced supplies to remote communities.|MDRDZ003
2874|To cope with the situation, substantial Government and military resources have been deployed.|MDRDZ003
2875|The Algerian Red Crescent (ARC)-Disaster Management Unit activated its disaster response teams and an assessment was conducted in the affected areas in order to respond accordingly.|MDRDZ003
2876|Initial assessments carried out in 37 wilayat (Batna, Biskra, Tizi-Ouzou, Sétif, Souk-Ahras, Laghouat, Jijel, Constantine, Médéa, Djelfa, Tissemsilt, Khenchela, Mila, Oum el Bouaghi, Tébessa, Bouira, Bordj Bou Arreridj, El Taraf, El Bayad, Bejaia, Saida, Setif, Guelma, Constantine, Medea, Mila, Ain Temouchent, Bechar, Mascara, Naama, Adrar, Ain Defla, Chlef, Relizane, Sidi Bel abbes, Tlemcen, Skikda, Annaba, Mostaganem, Boumerdes, and Tindouf) indicated that up to 25,000 families were been affected by the adverse weather conditions to various degrees.|MDRDZ003
2877|More than 7,570 families among them being vulnerable.|MDRDZ003
2878|In coordination with the Algerian authorities, the ARC provided relief to the most affected people, including food and non-food relief items, and assisted them in preserving their health during this cold wave.|MDRDZ003
2944|After the increase in activity of the Tungurahua Volcano in November 2015, another increase in activity was detected in early March 2016; due to the increased activity, the operation was extended for another 3 weeks.|MDREC010
2945|The emergency began in mid-November when emissions reached 3,500 metres above the crater level and began drifting northwest.|MDREC010
2946|The falling ash affected several villages located on the slopes of the volcano, as well as several cantons in the provinces of Tungurahua and Chimborazo.|MDREC010
2947|The most affected sectors were in Cotaló, Chacauco, Pillate, Chontapamba, Chonglontus, Cúsua, Juive and Bilbao, w here 1 and 6 millimetres of ash fell.|MDREC010
2948|The cantons of Pelileo, Quero, Mocha, Cevallos and Ambato were also affected by falling volcanic material.|MDREC010
2949|Technicians from the Tungurahua Volcano Observatory (OVT) reported explosions, as well as an increase in emission tremors on 4 March 2016, which caused ash, gas, and vapour emissions.|MDREC010
2950|The activity was so strong that the explosions were heard in various provinces in Chimborazo and Tungurahua and accompanied by vibrations in the earth and infrastructure.|MDREC010
2951|Incandescent rocks were reported to have rolled down the flanks of the volcano in the early morning hours while significant levels of falling ash were recorded in nearby towns such as Chompanba, Chacauco, Pillate, Cotaló, San Juan, Cevallos, Quero, Tisaleo and Pelileo in Tungurahua and Guano, Puela, El Manzano, and Riobamba in Chimborazo.|MDREC010
2952|Layers of ash in the most distant areas reached 2.2 millimetres and winds carried volcanic dust to the south-east and south-west of the country.|MDREC010
2965|At 23:00 on 24 January rains over the province of Esmeraldas started increasing in intensity, causing the overflowing of the Esmeraldas, Muisne, Quinindé, San Lorenzo, Eloy Alfaro, Rioverde and Atacames rivers, which led to landslides that affected homes and the main roads connecting Esmeraldas and Quinindé, Esmeraldas and Atacames, and Esmeraldas and Río Verde.|MDREC011
2966|Road conditions began to normalize as rains decreased in intensity.|MDREC011
2967|On 25 January 2016, after two days of heavy rains (24 to26 January), Esmeraldas, Atacames, and Rioverde authorities declared a state of emergency due to the impact caused by the flooding, especially since rivers and tributaries in the area maintained higher than normal levels several days after the event.|MDREC011
2968|On 30 January, through its Return Plan, the Provincial Governorate initiated actions to encourage residents to leave the places where they were being housed and return home.|MDREC011
2969|To this end, officials from various institutions visited the area and efforts began to clean up homes.|MDREC011
